post,var,vra_0,vra_1,diff,pval
0,pop,8649.356269476575,11127.016134896827,2477.6598654202517,2.1545297852008965e-7
0,popdensity,1181.2759852579609,837.4968571607899,-343.779128097171,0
0,pctnhblack,3.6409553187484613,21.65026662444571,18.00931130569725,0
0,pctnbmin,10.332471840688443,17.491447740091107,7.158975899402664,0
0,pctnhblack_total,1.7138289303897551,13.025609508171486,11.31178057778173,0
0,pctnbmin_total,7.402298735434492,14.713947524111529,7.3116487886770365,0
0,more_white,0.5109332910790683,0.5352240705390419,0.0242907794599736,2.098133543493688e-10
0,pctowneroccupied,73.19054788852877,68.30389810861858,-4.8866497799101865,0
0,mhmval,141180.97688559658,128520.09211708026,-12660.88476851632,4.681179503277465e-54
0,hinc,51918.43341671948,47734.87211298973,-4183.561303729752,1.7174273337622014e-140
0,pctpov,15.256321086846588,20.72720238394016,5.470881297093571,0
0,pctblackpov,14.080495230082127,26.12595400746251,12.045458777380384,0
0,pctnbminpov,16.167896048643197,20.223895080375442,4.055999031732245,8.832968128393055e-108
0,pctownerocc_total,62.279686677504024,59.33571561483076,-2.9439710626732634,3.739318963609549e-39
0,pcthincjobs_total,27.28778984015337,26.86309445031101,-0.4246953898423591,2.2636432301113824e-4
0,pctincopp_total,13.615800252524023,17.43033903897689,3.814538786452866,1.8902622797443446e-80
0,annexing,0.03191517456293244,0.03745114080538133,0.005535966242448891,1.0912257668457142e-4
0,underbound_black,0.001175196746421592,0.005954004181438051,0.004778807435016459,3.4973988039361297e-19
0,underbound_nbmin,0.01960861987006814,0.019043723297882013,-5.648965721861271e-4,0.5906580451111182
0,more_white_1,0.5109332910790683,0.5352240705390419,0.0242907794599736,2.098133543493688e-10
1,pop,9155.359451750912,12074.982047086629,2919.622595335717,1.6511649524344384e-8
1,popdensity,1164.4447887577562,832.9333293427916,-331.51145941496463,0
1,pctnhblack,3.8323683764161127,22.185236973362382,18.35286859694627,0
1,pctnbmin,12.378089708467785,19.72834196305566,7.350252254587874,0
1,pctnhblack_total,1.9637383397397632,14.933660573696457,12.969922233956694,0
1,pctnbmin_total,9.822341406622215,18.585838165366525,8.76349675874431,0
1,more_white,0.6340780647546612,0.6443505135896737,0.010272448835012438,0.005146336366140755
1,pctowneroccupied,71.62543130730707,66.67805269367719,-4.94737861362988,0
1,mhmval,143997.2107342999,132438.853516044,-11558.3572182559,1.320103925704336e-37
1,hinc,54412.73947796176,49078.73940050905,-5334.000077452714,1.9886543952036217e-202
1,pctpov,14.53460642219491,19.629806035556765,5.095199613361855,0
1,pctblackpov,14.355210941803737,24.53715628897171,10.181945347167972,0
1,pctnbminpov,13.15888426989093,16.673095962657495,3.5142116927665654,1.4026232883404703e-110
1,pctownerocc_total,78.35662054658336,73.48525312375921,-4.87136742282415,7.292829212354758e-297
1,pcthincjobs_total,38.080391973722534,35.52211727676237,-2.5582746969601615,5.288109822181373e-108
1,pctincopp_total,15.914035064643356,19.35419045294422,3.440155388300864,5.162147735441459e-63
1,annexing,0.024718745048328317,0.029270066357603854,0.004551321309275536,3.347512402201947e-4
1,underbound_black,0.0010827655416468602,0.005226797563857831,0.004144032022210971,1.3157790597619207e-16
1,underbound_nbmin,0.011765171922040882,0.010771748022907009,-9.934238991338735e-4,0.21355699917043147
1,more_white_1,0.6340780647546612,0.6443505135896737,0.010272448835012438,0.005146336366140755
