post,var,vra_0,vra_1,diff,pval
0,pop,8101.6987668343345,11047.035683942226,2945.336917107891,0.014838017692892348
0,popdensity,1234.961858507472,930.9761807000849,-303.9856778073871,1.079467382262685e-60
0,pctnhblack,3.445993747593383,22.200375733153454,18.75438198556007,0
0,pctnbmin,9.39065942223614,14.54125095691635,5.15059153468021,9.94994720522126e-45
0,pctnhblack_total,2.0274968121515915,16.575621264442965,14.548124452291374,4.129568108346827e-300
0,pctnbmin_total,7.405951560624606,14.664525418395918,7.258573857771312,6.885018492881644e-117
0,pctowneroccupied,74.03849210925955,69.15148053187319,-4.88701157738636,3.455286172039898e-72
0,mhmval,144599.87138597853,129159.36001699236,-15440.511368986176,3.171041130870304e-13
0,hinc,52418.96859835578,48101.816212121215,-4317.152386234564,1.374680957968848e-25
0,pctpov,14.498246026645882,20.00109033015866,5.502844303512779,2.6123046039118927e-112
0,pctblackpov,10.715101562557399,25.040503308081536,14.325401745524138,2.8394765867720857e-186
0,pctnbminpov,13.257298441082945,17.66581005652634,4.408511615443395,2.6028266398878533e-24
0,pctownerocc_total,73.29723643544625,68.74466215811185,-4.552574277334401,1.4183845084602871e-68
0,pcthincjobs_total,27.021779735117263,26.758391277718182,-0.26338845739908123,0.24180847354829954
0,pctincopp_total,11.214463651825707,14.76543215535132,3.5509685035256133,5.174866920434114e-13
0,annexing,0.20095732597760832,0.254035683942226,0.053078357964617656,8.842820375005833e-11
0,underbound_black,0.005597923089404511,0.03908241291418862,0.03348448982478411,1.7081053768644272e-23
0,underbound_nbmin,0.1211260749634918,0.1178136505239309,-0.003312424439560896,0.5914404205732129
0,more_white_1,0.6150413759532695,0.6471254602095724,0.032084084256302936,4.6395472562998306e-4
1,pop,8616.58307642382,11909.670914755026,3293.0878383312065,0.009469805423218784
1,popdensity,1150.4333003993916,855.7515764938828,-294.68172390550876,4.3472605339329767e-66
1,pctnhblack,3.7146378425150237,23.02236308567377,19.307725243158746,0
1,pctnbmin,11.348584690793434,16.687168568391737,5.338583877598303,3.5323823721998434e-45
1,pctnhblack_total,1.9483059895855586,15.501063632386714,13.552757642801156,3.3569596217059936e-304
1,pctnbmin_total,9.803303074042717,18.173287770718943,8.369984696676227,4.012756125848405e-139
1,pctowneroccupied,71.10503905625426,65.96965570155429,-5.135383354699968,8.407032250964329e-80
1,mhmval,132202.73040862134,123444.65712357218,-8758.073285049162,4.205523530796821e-6
1,hinc,51541.692891989835,46557.75140611725,-4983.941485872587,6.818898467887199e-36
1,pctpov,15.700233344097006,20.9358766783192,5.235643334222194,4.182276393012934e-122
1,pctblackpov,15.524125827900459,27.558798242966688,12.034672415066229,9.865901710001168e-127
1,pctnbminpov,15.094813781089675,18.576139877691336,3.481326096601661,3.402956200250293e-17
1,pctownerocc_total,79.46567734813839,75.99040548215956,-3.4752718659788258,1.0722648933408487e-52
1,pcthincjobs_total,33.564010723357875,30.198442902963823,-3.365567820394052,1.2245742708012271e-25
1,pctincopp_total,16.005679670673334,20.039824030451634,4.034144359778299,3.6104844934844864e-15
1,annexing,0.09516469251987668,0.1220617388841688,0.026897046364292118,1.0967073343712778e-5
1,underbound_black,0.0042187246470874575,0.023506088926649675,0.01928736427956222,2.026739830277314e-13
1,underbound_nbmin,0.04105143598896641,0.042197677711696406,0.0011462417227299931,0.7645404001568201
1,more_white_1,0.6130131429498621,0.6406117247238743,0.0275985817740122,0.0026856994116820176
